t,theta1,theta2,x1,y1,x2,y2
79.05,1.2138134133609193,-423.2554854968329,1.8739108085586984,-0.6988979049667308,1.116379715710449,-0.04609882150525968
79.06,1.1931905175682618,-423.47855341996717,1.8591000549452967,-0.7373920162996036,1.2647519386260906,0.06681586517620697
79.07000000000001,1.1760876912552367,-423.6945711641566,1.8462172892274185,-0.7690784881647402,1.4380577909197658,0.14383214488826868
79.08,1.1638455257645757,-423.9020623267635,1.836663993141584,-0.7916219907867716,1.62532381305092,0.1857905773129258
79.09,1.1570585175854704,-424.1014182388346,1.8312489880579483,-0.8040691162684585,1.8176594105847388,0.1958385411600161
79.10000000000001,1.1558536854490025,-424.2941560806814,1.8302788908420033,-0.8062748797638221,2.0084700130868205,0.1777210165452695
79.11,1.1601504912307141,-424.4823230450591,1.8337263909741868,-0.7984031081131786,2.192837046623104,0.13489188115838324
79.12,1.1698263824114694,-424.66818726072023,1.8413656933295235,-0.78062307385132,2.366760474209726,0.07023550677406465
79.13,1.1848046158622516,-424.85413110673653,1.8528510617674863,-0.7529561361109283,2.5264909827304116,-0.013896424798598761
79.14,1.205092517961815,-425.0426434726336,1.8677446115227316,-0.7152133011401568,2.6679485772792897,-0.115485351826906
79.15,1.2307817307036832,-425.23632435869627,1.885499595639812,-0.6670017052767595,2.7861726702379763,-0.2325042798598882
79.16,1.2619956456038774,-425.4377937176485,1.9053974949133816,-0.6078325315231241,2.8748001245588917,-0.36235637863578063
79.17,1.2987290954463202,-425.64930300782146,1.9264348837212022,-0.5374464054974026,2.9257687759768185,-0.5009529569176836
79.18,1.3404769541905506,-425.87170243267855,1.9471870711495156,-0.456576948551031,2.92995776528761,-0.6414059580255385
79.19,1.3856018477001513,-426.1025748854539,1.9658009165735388,-0.3682753812008548,2.880202026607299,-0.7730847313510543
79.2,1.4308884441768692,-426.33491438802065,1.9804576927154358,-0.27890379589430525,2.7770798966197194,-0.883381309327751
79.21000000000001,1.4724425419490017,-426.5599428779081,1.990334328489439,-0.19639058235183715,2.6319923281795683,-0.9633814632843695
79.22,1.5076541220536765,-426.77299281672316,1.9960143864439528,-0.12620051152341047,2.460990890374268,-1.0115235321168783
79.23,1.5357378431588562,-426.9747583416045,1.9987710286099931,-0.07010260472585833,2.2768969964989525,-1.0306472137814866
